Label Id	Label Name	Number Of Voxels	Volume (mm^3)	Image mean (BG0022)	Image stdev (BG0022)
0	Clear Label	14010964	3.32578e+006	51.5543	56.8089
1	Cerebrum	5594560	1.32798e+006	157.855	32.2641
2	Cerebellum	594017	141002	148.119	22.6366
4	Callosum	52810	12535.5	151.685	15.8151
5	Fornix	14448	3429.51	137.193	20.9817
6	Thalamus	113095	26845.3	146.108	10.593
7	MidBrain	58164	13806.4	124.855	17.1352
8	Pons	91077	21618.9	126.917	13.9964
9	Medulla	19685	4672.62	127.823	16.9166
10	Lateral Ventricles	74285	17633	103.554	26.0809
11	3rd Ventricle	10930	2594.45	110.91	25.049
12	4th Ventricle	9805	2327.41	77.8162	26.2245
