Label Id	Label Name	Number Of Voxels	Volume (mm^3)	Image mean (BH0030)	Image stdev (BH0030)
0	Clear Label	11864789	2.81632e+006	35.3665	47.8506
1	Cerebrum	4651784	1.10418e+006	166.509	33.9693
2	Cerebellum	491059	116561	170.647	26.5079
4	Callosum	36444	8650.62	169.385	17.7605
5	Fornix	4121	978.192	165.171	16.0776
6	Thalamus	27849	6610.45	165.638	13.8109
7	MidBrain	35532	8434.14	142.062	12.2419
8	Pons	62810	14909.1	150.959	11.9545
9	Medulla	7247	1720.2	146.261	14.9736
10	Lateral Ventricles	42648	10123.3	99.9562	25.8427
11	3rd Ventricle	3439	816.307	101.281	26.5875
12	4th Ventricle	6198	1471.2	87.9309	21.6173
